day	Mon	Tue	Wen	Thu	Fri	Sat	Sun
12a	4	4	4	4	4	5	5
1a	3	3	2	1	2	4	1
2a	2	4	5	2	2	3	3
3a	1	1	1	1	1	3	2
4a	1	2	2	2	1	1	1
5a	2	3	3	2	2	1	1
6a	3	4	5	5	3	3	2
7a	5	5	5	5	5	5	4
8a	6	6	6	6	6	6	6
9a	8	7	8	8	8	8	8
10a	9	8	5	9	9	7	9
11a	10	8	9	9	1	8	10
12p	11	8	10	9	10	10	10
1p	7	9	10	10	10	9	11
2p	11	8	7	9	9	11	11
3p	8	11	10	10	10	10	9
4p	11	9	11	11	11	9	8
5p	9	8	9	9	9	9	9
6p	9	8	9	9	9	9	11
7p	10	7	10	8	10	8	10
8p	10	9	10	11	11	7	10
9p	10	10	10	9	10	10	9
10p	9	8	9	7	9	9	8
11p	6	6	6	6	5	4	7
